____________________________________________________________________,
"			P o w e r T O P",
,
____________________________________________________________________,
 *  *  *   System Information   *  *  *,
,
PowerTOP Version;2.14 ran at Sun Jun 16 23:05:18 2024,
,
Kernel Version;Linux version 5.15.153.1-microsoft-standard-WSL2,
System Name;,
CPU Information;12 AMD Ryzen 5 5500U with Radeon Graphics,
OS Information;Ubuntu 22.04.4 LTS,
,
Target: 1 units/s;System:  152.9 wakeup/s;CPU:  0.9% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;,
,
____________________________________________________________________,
 *  *  *   Top 10 Power Consumers   *  *  *,
,
Usage;Events/s;Category;Description,
  0.4%; 97.7;Process;[PID 1186] Xwayland,
  0.0%; 17.9;Timer;tick_sched_timer,
  0.0%; 10.6;Process;[PID 14] rcu_sched,
  0.1%;  6.6;Timer;hrtimer_wakeup,
  0.1%;  4.0;Process;[PID 1415] python3,
  0.1%;  4.0;Process;[PID 1246] python3.10,
  0.0%;  4.0;Process;[PID 186] /bin/bash /snap/ubuntu-desktop-installer/1276/bin/subiquity-server ,
  0.0%;  2.0;Process;[PID 90] kcompactd0,
  0.1%;  1.0;Process;[PID 190] init,
  0.0%;  0.9;kWork;defense_work_handler,
,
____________________________________________________________________,
 *  *  *   Processor Idle State Report   *  *  *,
,
Package;0,
;,
;,
;,
,
;Core 0,
;Core 1,
;Core 2,
;Core 3,
;Core 4,
;Core 5,
,
CPU;0;CPU;1,
CPU;2;CPU;3,
CPU;4;CPU;5,
CPU;6;CPU;7,
CPU;8;CPU;9,
CPU;10;CPU;11,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
;;;;,
,
____________________________________________________________________,
 *  *  *   Processor Frequency Report   *  *  *,
,
Package;0,
Idle; 100.0% ,
;,
;,
;,
;,
,
;Core 0,
Idle; 100.0% ,
;Core 1,
Idle; 100.0% ,
;Core 2,
Idle; 100.0% ,
;Core 3,
Idle; 100.0% ,
;Core 4,
Idle; 100.0% ,
;Core 5,
Idle; 100.0% ,
;,
;,
;,
;,
;,
;,
,
CPU 0;CPU 1,
Idle; 100.0% ; 100.0% ,
CPU 2;CPU 3,
Idle; 100.0% ; 100.0% ,
CPU 4;CPU 5,
Idle; 100.0% ; 100.0% ,
CPU 6;CPU 7,
Idle; 100.0% ; 100.0% ,
CPU 8;CPU 9,
Idle; 100.0% ; 100.0% ,
CPU 10;CPU 11,
Idle; 100.0% ; 100.0% ,
;;,
;;,
;;,
;;,
;;,
;;,
;;,
;;,
;;,
;;,
;;,
;;,
,
____________________________________________________________________,
 *  *  *   Overview of Software Power Consumers   *  *  *,
,
Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description,
  3.8 ms/s; 97.7;;;;Process;[PID 1186] Xwayland,
289.0 us/s; 17.9;;;;Timer;tick_sched_timer,
112.6 us/s; 10.6;;;;Process;[PID 14] rcu_sched,
  1.3 ms/s;  6.6;;;;Timer;hrtimer_wakeup,
  1.1 ms/s;  4.0;;;;Process;[PID 1415] python3,
625.5 us/s;  4.0;;;;Process;[PID 1246] python3.10,
190.2 us/s;  4.0;;;;Process;[PID 186] /bin/bash /snap/ubuntu-desktop-installer/1276/bin/subiquity-server ,
 21.5 us/s;  2.0;;;;Process;[PID 90] kcompactd0,
537.7 us/s;  1.0;;;;Process;[PID 190] init,
  7.5 us/s;  0.9;;;;kWork;defense_work_handler,
 22.3 us/s;  0.9;;;;Process;[PID 164] hv_balloon,
260.1 us/s;  0.4;;;;Interrupt;[7] sched(softirq),
 15.1 us/s;  0.4;;;;Interrupt;[6] tasklet(softirq),
  0.8 ms/s; 0.10;;;;Process;[PID 176] mini_init,
  6.8 us/s; 0.30;;;;kWork;flush_memcg_stats_dwork,
 12.3 us/s; 0.20;;;;kWork;vmstat_shepherd,
  1.3 us/s; 0.20;;;;kWork;lru_add_drain_per_cpu,
 59.6 us/s; 0.15;;;;kWork;page_reporting_process,
  8.6 us/s; 0.15;;;;Process;[PID 92] khugepaged,
  3.2 us/s; 0.15;;;;kWork;blk_mq_requeue_work,
  1.6 us/s; 0.15;;;;kWork;blk_mq_timeout_work,
  1.0 us/s; 0.15;;;;Process;[PID 9826] powertop,
280.6 us/s;;;;;Interrupt;[9] RCU(softirq),
 11.2 us/s; 0.10;;;;kWork;wb_workfn,
  3.3 us/s; 0.10;;;;Process;[PID 1773] packagekitd,
  1.4 us/s; 0.10;;;;Timer;timerfd_tmrproc,
  1.2 us/s; 0.10;;;;kWork;blk_mq_run_work_fn,
  0.3 us/s; 0.10;;;;kWork;wb_update_bandwidth_workfn,
 17.1 us/s; 0.05;;;;Process;[PID 4788] systemd-resolve,
 16.9 us/s; 0.05;;;;Process;[PID 4528] systemd-udevd,
 14.7 us/s; 0.05;;;;Process;[PID 909] systemd,
 11.5 us/s; 0.05;;;;Process;[PID 333] jbd2/sdc-8,
  0.4 us/s; 0.05;;;;kWork;addrconf_verify_work,
  0.4 us/s; 0.05;;;;kWork;neigh_periodic_work,
  0.3 us/s; 0.05;;;;kWork;work_fn,
  0.1 us/s; 0.05;;;;kWork;ext4_discard_work,
 95.2 us/s;;;;;Interrupt;[1] timer(softirq),
 95.0 us/s;;;;;Timer;process_timeout,
 40.6 us/s;;;;;Timer;delayed_work_timer_fn,
 17.6 us/s;;;;;Process;[PID 863] kworker/8:2,
 16.8 us/s;;;;;Timer;mix_interrupt_randomness,
  5.9 us/s;;;;;Process;[PID 6926] kworker/u24:0,
  5.8 us/s;;;;;Process;[PID 87] kworker/0:1,
  5.0 us/s;;;;;Timer;estimation_timer,
  5.0 us/s;;;;;kWork;wq_barrier_func,
  3.1 us/s;;;;;kWork;vmstat_update,
  2.9 us/s;;;;;Process;[PID 133] kworker/0:1H,
  2.7 us/s;;;;;Process;[PID 446] kworker/10:2,
  2.6 us/s;;;;;Process;[PID 978] kworker/1:2,
  1.8 us/s;;;;;Timer;tcp_orphan_update,
  1.7 us/s;;;;;Timer;blk_rq_timed_out_timer,
  1.1 us/s;;;;;Process;[PID 127] kworker/2:1,
  0.8 us/s;;;;;Process;[PID 198] /sbin/agetty -o -p -- \u --noclear tty1 linux ,
  0.7 us/s;;;;;Timer;writeout_period,
  0.6 us/s;;;;;Timer;commit_timeout,
  0.5 us/s;;;;;Process;[PID 165] kworker/8:1H,
  0.4 us/s;;;;;kWork;check_lifetime,
  0.2 us/s;;;;;kWork;do_cache_clean,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
;;;;;;,
,
____________________________________________________________________,
 *  *  *   Device Power Report   *  *  *,
,
Usage;Device Name,
  1.0%;CPU use,
  0.0%;runtime-vhci_hcd.0,
  0.0 pkts/s;Network interface: eth0 (hv_netvsc),
  0.0%;PCI Device: Microsoft Corporation Device 008e,
  0.0%;PCI Device: Red Hat, Inc. Virtio file system
  0.0%;PCI Device: Microsoft Corporation Device 008e,
  0.0%;PCI Device: Red Hat, Inc. Virtio console
  0.0%;runtime-alarmtimer.0.auto,
  0.0%;runtime-PNP0C0A:00,
  0.0%;runtime-platform-framebuffer.0,
  0.0%;runtime-VMBUS:00,
  0.0%;runtime-HYPER_V_GEN_COUNTER_V1:00,
  0.0%;runtime-serial8250,
  0.0%;runtime-PNP0003:00,
  0.0%;runtime-pcspkr,
  0.0%;runtime-vgem,
  0.0%;runtime-ACPI0003:00,
____________________________________________________________________,
 *  *  *   Process Device Activity   *  *  *,
,
Process;Device,
init-systemd(Ub;/dev/kmsg,
init;/dev/kmsg,
snapfuse;/dev/fuse,
;/dev/fuse,
;/dev/fuse,
;/dev/fuse,
;/dev/fuse,
agetty;/dev/console,
;/dev/console,
;/dev/console,
SessionLeader;/dev/kmsg,
Relay(370);/dev/kmsg,
systemd-journal;/dev/kmsg,
;/dev/kmsg,
,
____________________________________________________________________,
 *  *  *   AHCI ALPM Residency Statistics - Not supported on this macine   *  *  *,
,
____________________________________________________________________,
 *  *  *   Software Settings in Need of Tuning   *  *  *,
,
Description;Script,
VM writeback timeout;echo '1500' > '/proc/sys/vm/dirty_writeback_centisecs';,
____________________________________________________________________,
 *  *  *   Untunable Software Issues   *  *  *,
,
Description,
____________________________________________________________________,
 *  *  *   Optimal Tuned Software Settings   *  *  *,
,
Description,
